distancia,area,categoria
48.80,556.00,2
2.70,54.00,0
15.00,156.00,1
36.80,1131.00,2
1.80,48.00,0
6.60,130.00,1
27.80,1133.00,2
2.70,42.00,0
11.10,160.00,1
24.40,1561.00,2
4.20,40.00,0
6.60,124.00,1
42.30,1762.00,2
4.40,43.00,0
9.90,105.00,1
44.50,1619.00,2
3.50,52.00,0
5.10,127.00,1
29.90,2407.00,2
0.10,48.00,0
11.90,207.00,1
25.80,851.00,2
2.90,67.00,0
11.10,245.00,1
35.70,1341.00,2
0.80,56.00,0
11.50,124.00,1
41.40,2313.00,2
4.60,46.00,0
12.10,189.00,1
23.40,916.00,2
0.50,34.00,0
14.60,210.00,1
21.60,1166.00,2
2.40,51.00,0
10.50,198.00,1
24.80,1078.00,2
2.00,53.00,0
14.40,136.00,1
35.10,1577.00,2
0.00,35.00,0
9.30,137.00,1
31.30,853.00,2
1.20,70.00,0
6.00,136.00,1
22.10,1109.00,2
3.00,52.00,0
8.70,219.00,1
39.50,1673.00,2
0.60,43.00,0
13.40,198.00,1
26.00,1376.00,2
1.80,48.00,0
8.50,129.00,1
23.60,1758.00,2
0.50,55.00,0
11.20,219.00,1
30.50,890.00,2
3.30,61.00,0
10.70,136.00,1
43.10,653.00,2
3.50,58.00,0
13.70,206.00,1
44.10,874.00,2
0.40,62.00,0
7.90,224.00,1
45.80,894.00,2
0.50,55.00,0
6.90,216.00,1
41.80,1725.00,2
2.40,61.00,0
8.80,224.00,1
23.40,2417.00,2
4.80,53.00,0
12.70,205.00,1
32.30,1637.00,2
0.80,52.00,0
10.30,127.00,1
22.10,924.00,2
2.90,39.00,0
10.90,185.00,1
29.70,836.00,2
1.60,52.00,0
11.90,127.00,1
49.70,824.00,2
1.70,67.00,0
9.30,136.00,1
40.60,1676.00,2
3.30,67.00,0
14.70,148.00,1
33.10,2451.00,2
2.20,30.00,0
13.50,230.00,1
24.60,1542.00,2
0.70,64.00,0
14.90,215.00,1
30.20,2424.00,2
1.40,41.00,0
7.70,184.00,1
25.90,2335.00,2
3.70,52.00,0
13.10,235.00,1
24.40,1146.00,2
3.00,49.00,0
10.50,119.00,1
48.10,694.00,2
4.00,31.00,0
12.50,233.00,1
20.80,2243.00,2
0.40,32.00,0
7.10,102.00,1
21.90,524.00,2
4.60,45.00,0
13.20,214.00,1
49.40,2227.00,2
0.50,32.00,0
10.00,116.00,1
33.60,1953.00,2
1.00,35.00,0
6.90,242.00,1
31.60,2188.00,2
0.90,70.00,0
8.30,212.00,1
26.10,544.00,2
3.80,64.00,0
13.20,215.00,1
28.20,1771.00,2
4.70,57.00,0
8.20,183.00,1
28.30,658.00,2
0.50,50.00,0
14.30,219.00,1
32.70,1281.00,2
2.90,40.00,0
13.10,157.00,1
27.90,502.00,2
1.00,46.00,0
11.10,199.00,1
45.10,1379.00,2
1.20,32.00,0
11.70,102.00,1
39.70,1049.00,2
0.00,58.00,0
6.60,122.00,1
30.00,2248.00,2
3.80,57.00,0
8.30,241.00,1
38.30,1581.00,2
3.40,44.00,0
6.80,118.00,1
40.00,927.00,2
2.20,52.00,0
8.10,217.00,1
25.20,818.00,2
0.60,38.00,0
14.80,137.00,1
46.00,2439.00,2
3.70,36.00,0
6.20,218.00,1
34.00,1135.00,2
0.30,51.00,0
6.50,239.00,1
34.00,667.00,2
4.00,40.00,0
12.40,236.00,1
32.30,1025.00,2
1.00,35.00,0
9.80,176.00,1
31.00,2352.00,2
4.30,31.00,0
13.30,221.00,1
24.20,1151.00,2
3.20,31.00,0
11.50,124.00,1
40.30,1668.00,2
0.50,68.00,0
14.60,169.00,1
26.70,2331.00,2
4.30,64.00,0
8.00,159.00,1
44.90,2497.00,2
1.60,51.00,0
9.30,192.00,1
39.40,540.00,2
2.30,64.00,0
9.20,206.00,1
28.60,2105.00,2
4.50,35.00,0
10.10,215.00,1
22.20,1096.00,2
3.00,47.00,0
13.90,155.00,1
43.60,2105.00,2
4.90,61.00,0
11.50,239.00,1
41.70,520.00,2
3.70,30.00,0
7.70,208.00,1
42.00,2389.00,2
1.90,50.00,0
6.60,232.00,1
32.10,814.00,2
2.70,36.00,0
10.00,102.00,1
34.00,926.00,2
4.40,60.00,0
12.80,113.00,1
48.80,1351.00,2
0.10,58.00,0
12.30,144.00,1
43.60,1380.00,2
2.80,34.00,0
10.20,118.00,1
32.60,2140.00,2
0.80,52.00,0
14.20,128.00,1
43.70,1882.00,2
4.80,57.00,0
10.70,198.00,1
42.60,1159.00,2
3.70,35.00,0
9.00,134.00,1
41.30,1472.00,2
4.20,48.00,0
7.10,220.00,1
27.60,1261.00,2
3.90,60.00,0
11.80,165.00,1
44.60,1793.00,2
2.40,40.00,0
14.80,122.00,1
38.00,857.00,2
1.40,47.00,0
5.30,244.00,1
25.60,2494.00,2
4.00,54.00,0
11.40,245.00,1
37.00,1864.00,2
4.00,40.00,0
5.90,159.00,1
46.40,1978.00,2
2.30,56.00,0
5.80,245.00,1
29.80,1153.00,2
4.70,65.00,0
12.50,182.00,1
44.50,1959.00,2
3.10,47.00,0
13.50,153.00,1
34.30,1193.00,2
0.10,31.00,0
12.80,160.00,1
21.60,2416.00,2
3.00,55.00,0
7.80,146.00,1
41.80,913.00,2
3.20,53.00,0
9.10,230.00,1
45.70,2179.00,2
2.70,41.00,0
14.20,178.00,1
48.90,955.00,2
1.90,51.00,0
5.90,134.00,1
49.10,520.00,2
4.90,32.00,0
14.90,154.00,1
44.20,1857.00,2
3.40,44.00,0
8.30,227.00,1
26.50,2191.00,2
4.40,35.00,0
9.00,237.00,1
27.80,1316.00,2
3.40,46.00,0
7.70,237.00,1
42.90,1265.00,2
2.20,62.00,0
6.80,177.00,1
45.70,2103.00,2
3.00,53.00,0
5.00,239.00,1
36.10,1553.00,2
1.70,53.00,0
8.80,137.00,1
22.00,1992.00,2
3.60,48.00,0
9.90,205.00,1
43.70,873.00,2
0.00,67.00,0
11.50,211.00,1
24.90,554.00,2
3.10,49.00,0
10.90,175.00,1
50.00,1721.00,2
0.20,35.00,0
10.60,239.00,1
29.70,681.00,2
0.10,64.00,0
8.60,122.00,1
41.20,1885.00,2
4.90,54.00,0
11.30,111.00,1
37.30,2139.00,2
4.60,31.00,0
10.30,201.00,1
46.80,773.00,2
2.80,62.00,0
13.00,192.00,1
33.60,1844.00,2
3.30,68.00,0
13.70,156.00,1
35.90,1291.00,2
0.20,38.00,0
12.70,139.00,1
28.70,1867.00,2
2.70,43.00,0
13.50,241.00,1
25.50,2476.00,2
0.50,60.00,0
5.50,232.00,1
47.90,1830.00,2
2.70,37.00,0
6.00,149.00,1
29.00,1532.00,2
4.20,30.00,0
11.70,172.00,1
43.00,518.00,2
2.00,36.00,0
6.20,122.00,1
38.60,2446.00,2
0.40,39.00,0
8.80,105.00,1
34.00,833.00,2
2.00,35.00,0
6.70,146.00,1
23.70,2326.00,2
3.40,59.00,0
12.20,135.00,1
34.20,1147.00,2
2.60,65.00,0
6.90,178.00,1
39.10,2154.00,2
1.20,65.00,0
9.30,111.00,1
31.50,964.00,2
3.20,30.00,0
6.70,183.00,1
48.00,842.00,2
2.90,55.00,0
13.90,149.00,1
28.40,1685.00,2
4.40,50.00,0
7.50,217.00,1
23.40,526.00,2
1.40,31.00,0
12.50,208.00,1
22.80,887.00,2
2.10,66.00,0
5.00,237.00,1
48.30,1983.00,2
0.50,67.00,0
12.50,248.00,1
40.90,2149.00,2
3.80,39.00,0
14.40,166.00,1
30.30,884.00,2
1.60,59.00,0
9.50,187.00,1
42.00,2341.00,2
1.20,60.00,0
15.00,209.00,1
48.90,1484.00,2
4.40,38.00,0
10.80,119.00,1
47.60,2429.00,2
2.00,52.00,0
11.70,133.00,1
37.70,2482.00,2
0.50,60.00,0
8.60,180.00,1
20.60,700.00,2
2.20,43.00,0
14.10,218.00,1
40.30,1883.00,2
3.50,31.00,0
11.80,210.00,1
41.60,1679.00,2
0.60,44.00,0
10.70,185.00,1
23.00,1884.00,2
2.80,53.00,0
5.40,110.00,1
25.10,936.00,2
0.30,38.00,0
5.60,161.00,1
44.90,2316.00,2
4.30,51.00,0
5.00,141.00,1
49.10,1046.00,2
1.50,62.00,0
5.70,142.00,1
42.40,1193.00,2
3.30,46.00,0
6.40,237.00,1
38.50,2130.00,2
4.40,32.00,0
10.20,199.00,1
49.50,912.00,2
0.10,42.00,0
14.90,166.00,1
29.70,2500.00,2
3.00,38.00,0
6.60,151.00,1
32.90,2114.00,2
3.20,46.00,0
5.60,203.00,1
44.50,2349.00,2
4.80,64.00,0
11.90,204.00,1
23.90,1038.00,2
3.30,36.00,0
14.00,223.00,1
45.50,2495.00,2
2.10,56.00,0
11.20,213.00,1
42.50,1364.00,2
3.90,67.00,0
9.90,206.00,1
29.90,1114.00,2
1.20,52.00,0
10.10,132.00,1
26.40,1878.00,2
1.20,30.00,0
12.50,214.00,1
37.70,1490.00,2
4.90,44.00,0
8.00,195.00,1
47.20,1435.00,2
4.10,38.00,0
5.30,243.00,1
37.50,1457.00,2
0.80,54.00,0
14.90,109.00,1
21.80,2357.00,2
1.30,51.00,0
8.00,161.00,1
27.90,551.00,2
1.40,41.00,0
12.60,147.00,1
20.90,1931.00,2
0.50,46.00,0
7.70,111.00,1
44.40,1322.00,2
3.00,48.00,0
7.10,246.00,1
46.10,667.00,2
4.60,67.00,0
13.50,223.00,1
27.70,1551.00,2
2.80,45.00,0
6.30,196.00,1
29.90,1266.00,2
1.50,44.00,0
9.20,193.00,1
23.00,2071.00,2
1.80,36.00,0
11.30,149.00,1
38.90,1132.00,2
0.80,53.00,0
12.40,123.00,1
20.20,1464.00,2
4.80,50.00,0
9.10,157.00,1
28.30,1205.00,2
3.60,58.00,0
8.00,149.00,1
27.40,1561.00,2
3.00,52.00,0
9.70,129.00,1
44.30,1909.00,2
1.80,69.00,0
7.40,122.00,1
28.40,2007.00,2
2.00,49.00,0
11.90,213.00,1
24.90,985.00,2
0.30,35.00,0
8.80,184.00,1
41.50,1092.00,2
4.70,42.00,0
14.70,159.00,1
38.40,1541.00,2
1.70,65.00,0
13.00,176.00,1
38.60,1364.00,2
1.90,60.00,0
10.40,104.00,1
26.60,2045.00,2
3.40,47.00,0
5.30,229.00,1
28.00,2181.00,2
3.20,56.00,0
9.10,208.00,1
40.30,1614.00,2
0.50,38.00,0
7.00,186.00,1
39.70,769.00,2
4.90,32.00,0
6.60,159.00,1
26.20,1340.00,2
0.70,49.00,0
5.90,193.00,1
41.80,1175.00,2
1.60,66.00,0
12.20,139.00,1
49.90,2480.00,2
4.90,37.00,0
9.60,111.00,1
35.50,919.00,2
4.50,35.00,0
5.50,218.00,1
34.70,1003.00,2
0.20,51.00,0
12.90,242.00,1
40.80,1985.00,2
3.70,54.00,0
6.00,232.00,1
23.60,849.00,2
0.10,37.00,0
12.80,102.00,1
47.90,737.00,2
3.60,52.00,0
8.40,245.00,1
36.50,2354.00,2
4.60,56.00,0
10.50,177.00,1
25.90,1124.00,2
2.40,44.00,0
12.00,221.00,1
29.30,1969.00,2
1.40,66.00,0
7.10,192.00,1
23.20,2236.00,2
2.60,50.00,0
7.30,191.00,1
41.10,1488.00,2
3.20,44.00,0
5.90,204.00,1
48.90,1631.00,2
4.90,66.00,0
10.10,149.00,1
39.20,1635.00,2
1.00,67.00,0
7.30,169.00,1
47.50,2458.00,2
1.20,43.00,0
14.90,198.00,1
44.90,1230.00,2
3.00,57.00,0
14.90,203.00,1
48.10,2302.00,2
3.90,67.00,0
6.20,201.00,1
26.30,1314.00,2
4.20,52.00,0
10.70,217.00,1
20.10,1276.00,2
2.90,64.00,0
6.70,200.00,1
46.00,915.00,2
4.00,45.00,0
10.50,231.00,1
26.90,791.00,2
4.40,44.00,0
11.20,243.00,1
31.50,1849.00,2
0.10,50.00,0
11.40,213.00,1
21.10,779.00,2
1.60,41.00,0
6.70,154.00,1
34.20,1013.00,2
4.50,46.00,0
14.00,130.00,1
29.00,1791.00,2
3.90,36.00,0
13.10,132.00,1
28.40,759.00,2
0.80,44.00,0
13.20,111.00,1
25.20,2004.00,2
2.20,32.00,0
13.00,142.00,1
42.60,2113.00,2
0.70,47.00,0
12.30,220.00,1
26.00,1059.00,2
0.50,41.00,0
13.70,209.00,1
49.70,2390.00,2
1.30,56.00,0
14.10,177.00,1
43.70,1258.00,2
0.50,39.00,0
14.80,181.00,1
27.30,1485.00,2
1.40,55.00,0
9.80,190.00,1
25.30,1044.00,2
3.30,54.00,0
7.40,141.00,1
32.60,2397.00,2
0.90,40.00,0
8.60,207.00,1
33.60,1294.00,2
0.10,36.00,0
5.60,214.00,1
38.00,739.00,2
1.30,40.00,0
9.20,132.00,1
35.40,1100.00,2
3.40,40.00,0
5.50,192.00,1
27.90,1828.00,2
4.00,52.00,0
13.00,102.00,1
42.70,815.00,2
1.60,65.00,0
10.50,110.00,1
34.60,1582.00,2
2.20,59.00,0
13.30,219.00,1
35.30,2044.00,2
3.80,49.00,0
12.20,116.00,1
27.20,1563.00,2
3.00,55.00,0
7.80,175.00,1
26.40,1840.00,2
2.40,67.00,0
7.00,144.00,1
47.60,670.00,2
4.50,51.00,0
6.30,123.00,1
36.50,2314.00,2
2.60,37.00,0
12.60,160.00,1
45.30,2065.00,2
0.10,64.00,0
12.70,107.00,1
31.70,2394.00,2
0.20,63.00,0
5.50,126.00,1
31.40,1046.00,2
3.60,44.00,0
13.80,240.00,1
40.80,707.00,2
3.30,52.00,0
14.60,141.00,1
47.10,2008.00,2
4.20,37.00,0
8.00,200.00,1
22.20,1060.00,2
4.90,40.00,0
14.50,224.00,1
25.60,1176.00,2
3.10,31.00,0
8.70,229.00,1
36.80,986.00,2
2.50,69.00,0
13.00,192.00,1
20.60,1983.00,2
4.90,61.00,0
14.30,218.00,1
47.00,1614.00,2
3.30,37.00,0
10.10,136.00,1
46.60,829.00,2
2.50,36.00,0
7.30,139.00,1
44.90,544.00,2
3.10,34.00,0
11.50,171.00,1
30.30,795.00,2
0.60,44.00,0
14.50,219.00,1
23.60,2254.00,2
2.20,52.00,0
5.30,241.00,1
30.70,1058.00,2
1.20,33.00,0
9.00,185.00,1
43.20,1201.00,2
4.10,66.00,0
10.70,153.00,1
33.40,1613.00,2
2.00,58.00,0
5.60,199.00,1
43.90,927.00,2
3.20,40.00,0
7.90,210.00,1
33.20,2256.00,2
1.50,35.00,0
10.20,103.00,1
27.40,2061.00,2
2.70,65.00,0
14.80,168.00,1
22.90,956.00,2
3.10,31.00,0
14.60,199.00,1
29.40,1003.00,2
4.70,35.00,0
6.70,202.00,1
23.70,822.00,2
1.20,51.00,0
12.70,172.00,1
34.10,2489.00,2
0.60,56.00,0
8.70,131.00,1
34.60,1779.00,2
2.20,35.00,0
14.60,139.00,1
25.70,778.00,2
2.60,52.00,0
6.70,107.00,1
39.50,921.00,2
1.30,45.00,0
12.70,149.00,1
47.60,1916.00,2
1.40,61.00,0
11.40,228.00,1
37.60,1399.00,2
0.80,40.00,0
12.50,119.00,1
20.30,2089.00,2
4.30,44.00,0
9.20,178.00,1
43.10,572.00,2
3.20,49.00,0
